"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2",10,"qinghai",2,2,53,1,1,1,4,1979,0,0,36,1979,15,1,2,6,11,14400
"3",20,"qinghai",3,2,57,4,1,1,4,1976,0,0,35,1976,16,1,4,11,14,61200
"4",20,"qinghai",3,1,32,1,1,1,2,2004,0,0,35,2004,19,4,2,11,16,42000
"5",20,"qinghai",3,2,32,1,1,1,1,2003,0,0,35,2003,6,4,5,11,16,26000
"6",30,"qinghai",4,1,39,1,0,1,4,1992,0,0,35,1992,6,6,1,5,9,18240
"7",30,"qinghai",4,2,38,1,0,1,4,1994,0,0,40,1994,8,6,1,5,9,16120
"10",40,"qinghai",4,1,36,1,0,1,1,1996,0,0,36,1996,6,1,2,9,14,49200
"11",40,"qinghai",4,2,33,1,0,1,4,2002,0,1,52,2002,8,NA,NA,6,12,NA
"14",50,"qinghai",1,2,46,3,1,1,4,2010,0,0,8,2010,7,6,1,6,11,26976
"15",60,"qinghai",4,1,43,1,0,1,1,1990,0,0,35,1990,19,1,2,11,15,45600
"16",60,"qinghai",4,2,42,1,0,1,1,1988,0,0,35,1988,19,1,2,11,15,33200
"19",70,"qinghai",3,1,42,1,1,1,1,1992,0,0,35,1992,9,1,3,11,15,31200
"20",70,"qinghai",3,2,42,1,1,1,1,1992,0,0,35,1992,9,5,3,11,15,38400
"25",90,"qinghai",2,1,53,1,1,1,4,1977,0,0,34,1977,17,1,2,9,12,5160
"26",90,"qinghai",2,2,51,1,1,1,4,1980,0,0,34,1980,1,1,3,5,6,4860
"27",100,"qinghai",3,1,35,1,1,1,4,NA,0,1,42,2010,8,NA,NA,6,12,38000
"28",100,"qinghai",3,2,34,1,1,1,4,NA,0,1,42,2009,12,NA,NA,9,14,NA
"30",110,"qinghai",3,1,46,1,0,1,1,1986,0,0,36,1986,19,1,2,13,16,51000
"31",110,"qinghai",3,2,39,1,0,1,4,1992,0,0,35,1992,9,5,3,10,13,25200
"35",130,"qinghai",1,1,46,3,0,1,1,1995,0,0,48,1995,4,6,5,6,12,36000
"44",170,"qinghai",3,2,44,1,0,1,4,1985,0,0,45,1985,8,3,3,6,NA,18000
"45",170,"qinghai",3,1,45,1,0,1,4,1983,0,0,56,1983,19,1,2,5,NA,9600
"49",180,"qinghai",3,2,26,2,1,2,2,2008,0,0,40,2008,15,NA,2,9,15,14400
"58",220,"qinghai",4,1,39,1,0,1,2,2002,0,0,63,2002,18,6,1,6,12,NA
"64",240,"qinghai",2,1,33,1,0,1,1,1996,0,0,48,2006,17,1,6,9,15,28524
"65",240,"qinghai",2,2,29,1,0,2,1,2002,0,0,40,2011,10,6,2,9,15,NA
"66",250,"qinghai",2,1,45,1,0,1,1,1985,0,0,56,1985,14,5,3,6,12,14400
"67",250,"qinghai",2,2,46,1,0,1,4,2011,0,0,56,1984,8,5,1,9,15,9600
"68",260,"qinghai",3,1,42,1,0,1,2,1990,0,0,40,1990,5,NA,NA,6,12,24000
