"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"1",3006,"63",2,1,49,1,1,1,4,1,2,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,9,1,2,2,1
"2",3006,"63",2,2,47,1,1,1,4,1,3,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,6,1,2,2,1
"3",3012,"63",2,2,48,1,1,1,4,2,4,1,NA,7,12245,5200,3,2,1213,205,5200,3000,6,1,2,2,2
"4",3012,"63",2,1,52,1,1,1,1,1,3,6,10,7,12245,5200,3,2,1213,205,5200,3000,9,1,2,2,1
"5",3018,"63",1,1,56,4,1,1,4,1,4,4,4,NA,5290,5200,3,2,1213,205,5200,3000,6,2,2,2,1
"6",3024,"63",4,2,35,1,1,1,4,1,3,1,NA,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,6,1,2,2,1
"7",3024,"63",4,1,35,1,1,1,4,1,2,6,11,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,9,1,2,2,1
"8",3030,"63",6,2,24,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,6,1,2,2,1
"9",3030,"63",6,2,47,1,1,1,4,2,3,2,NA,6,4546.5,5200,3,2,1213,205,5200,3000,6,1,2,2,2
"10",3030,"63",6,1,27,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,9,1,2,2,1
"11",3030,"63",6,1,51,1,1,4,4,1,1,6,10,6,4546.5,5200,3,2,1213,205,5200,3000,1,2,2,2,1
"12",3036,"63",4,2,49,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,6,1,2,2,2
"13",3036,"63",4,1,21,2,1,1,4,1,2,6,12,8,6721,5200,3,2,1213,205,5200,3000,1,2,2,2,1
"14",3036,"63",4,1,54,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,6,1,2,2,2
