"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"1",2004,"63",2,1,49,1,1,1,4,1,2,4,5,3.5,4396.5,5200,3,2,1213,5200,3000,1,6,1990,2,1990,63,1,205,1,25,2,1,2,2,3000,5200
"2",2004,"63",2,2,47,1,1,1,4,1,3,4,5,3.5,4396.5,5200,3,2,1213,5200,3000,1,3,2007,2,2007,63,1,205,1,25,2,1,2,2,3000,5200
"3",2008,"63",2,2,48,1,1,1,4,2,4,1,NA,7,12245,5200,3,2,1213,5200,3000,2,NA,NA,3,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"4",2008,"63",2,1,52,1,1,1,1,1,3,6,10,7,12245,5200,3,2,1213,5200,3000,1,9,1987,2,1987,63,1,205,1,25,2,1,2,2,3000,5200
"5",2012,"63",1,1,56,4,1,1,4,1,4,4,4,NA,5290,5200,3,2,1213,5200,3000,1,1.5,2011,3,NA,63,1,205,1,25,2,1,2,2,3000,5200
"6",2016,"63",4,2,35,1,1,1,4,1,3,1,NA,11.8999996185303,15939,5200,3,2,1213,5200,3000,1,9,2008,2,2008,63,1,205,1,25,2,1,2,2,3000,5200
"7",2016,"63",4,1,35,1,1,1,4,1,2,6,11,11.8999996185303,15939,5200,3,2,1213,5200,3000,1,9,1998,2,1998,63,1,205,1,25,2,1,2,2,3000,5200
"8",2020,"63",6,2,24,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,5200,3000,1,2,2010,1,2008,63,1,205,1,25,2,1,2,2,3000,5200
"9",2020,"63",6,2,47,1,1,1,4,2,3,2,NA,6,4546.5,5200,3,2,1213,5200,3000,2,NA,NA,3,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"10",2020,"63",6,1,27,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,5200,3000,1,9,2010,1,2004,63,1,205,1,25,2,1,2,2,3000,5200
"11",2020,"63",6,1,51,1,1,4,4,1,1,6,10,6,4546.5,5200,3,2,1213,5200,3000,1,12,1981,1,1981,63,1,205,1,25,2,1,2,2,3000,5200
"12",2024,"63",4,2,49,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,5200,3000,2,NA,NA,3,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"13",2024,"63",4,1,21,2,1,1,4,1,2,6,12,8,6721,5200,3,2,1213,5200,3000,1,11,2011,1,2010,63,1,205,1,25,2,1,2,2,3000,5200
"14",2024,"63",4,1,54,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,5200,3000,2,NA,NA,3,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"15",2024,"63",4,1,23,2,1,1,4,1,2,5,9,8,6721,5200,3,2,1213,5200,3000,1,11,2006,1,2006,63,1,205,1,25,2,1,2,2,3000,5200
"16",2032,"63",2,1,49,1,1,1,1,1,2,6,10,5,8666,5200,3,2,1213,5200,3000,1,9,1991,2,NA,63,1,205,1,25,2,1,2,2,3000,5200
"17",2032,"63",2,2,47,1,1,1,2,2,3,4,5,5,8666,5200,3,2,1213,5200,3000,2,NA,NA,3,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"18",2036,"63",4,2,37,1,1,1,4,2,3,4,5,8,5956.5,5200,3,2,1213,5200,3000,2,NA,NA,NA,NA,NA,1,205,1,25,2,1,2,2,3000,5200
"19",2036,"63",4,1,35,1,1,1,4,1,3,4,5,8,5956.5,5200,3,2,1213,5200,3000,1,6,2010,2,1990,63,1,205,1,25,2,1,2,2,3000,5200
"20",2040,"63",5,1,25,2,0,1,4,1,3,4,NA,25,3475,3800,3,1,4768,3800,1800,1,8,2009,1,2009,63,42,285,1,25,1,1,1,1,1800,3800
"21",2040,"63",5,2,46,1,0,1,4,NA,4,4,NA,25,3475,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"22",2040,"63",5,2,21,2,0,1,4,NA,3,4,NA,25,3475,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"23",2040,"63",5,1,46,1,0,1,4,NA,3,5,NA,25,3475,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"24",2044,"63",4,1,40,1,0,1,4,NA,4,4,NA,10,3096.25,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"25",2044,"63",4,1,55,4,0,1,4,NA,4,1,NA,10,3096.25,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"26",2044,"63",4,1,18,2,0,1,4,1,3,5,NA,10,3096.25,3800,3,1,4768,3800,1800,1,8,2006,NA,2006,34,42,285,1,25,1,1,1,1,1800,3800
"27",2044,"63",4,2,41,1,0,1,4,NA,4,1,NA,10,3096.25,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"28",2048,"63",4,1,22,5,0,1,4,1,3,5,NA,15,17335.75,3800,3,1,4768,3800,1800,1,4,2009,2,2009,63,42,285,1,25,1,1,1,1,1800,3800
"29",2048,"63",4,2,47,5,0,1,4,NA,4,1,NA,15,17335.75,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"30",2052,"63",5,1,25,2,0,1,4,1,2,5,8,14,1886.2,3800,3,1,4768,3800,1800,1,6,2006,1,NA,63,42,285,1,25,1,1,1,1,1800,3800
"31",2052,"63",5,2,48,1,0,1,4,2,2,2,NA,14,1886.2,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"32",2052,"63",5,1,27,2,0,1,4,1,2,1,5,14,1886.2,3800,3,1,4768,3800,1800,1,4,2005,1,NA,63,42,285,1,25,1,1,1,1,1800,3800
"33",2052,"63",5,1,50,1,0,1,4,2,2,1,5,14,1886.2,3800,3,1,4768,3800,1800,2,NA,NA,2,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"34",2056,"63",6,1,22,2,0,1,4,1,2,6,9,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,1,8,2009,1,2009,63,42,285,1,25,1,1,1,1,1800,3800
"35",2056,"63",6,1,24,1,0,1,4,1,2,4,5,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,1,6,2011,1,NA,63,42,285,1,25,1,1,1,1,1800,3800
