"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","a16","a18","h28","h29","a19","a20","a17","a21"
"1",4008,"63",2,1,49,1,1,1,4,1,2,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,1,0,2,NA,0.200000002980232,20,1,2
"2",4008,"63",2,2,47,1,1,1,4,1,3,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,2,0,2,NA,0,0,1,2
"3",4016,"63",2,2,48,1,1,1,4,2,4,1,NA,7,12245,5200,3,2,1213,205,5200,3000,1,0,2,NA,0,0,1,2
"4",4016,"63",2,1,52,1,1,1,1,1,3,6,10,7,12245,5200,3,2,1213,205,5200,3000,1,0,2,NA,2,20,1,2
"5",4024,"63",1,1,56,4,1,1,4,1,4,4,4,NA,5290,5200,3,2,1213,205,5200,3000,3,10,5,3,0,15,1,2
"6",4032,"63",4,2,35,1,1,1,4,1,3,1,NA,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,1,0,1,NA,NA,NA,1,2
"7",4032,"63",4,1,35,1,1,1,4,1,2,6,11,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,1,0,1,NA,1,20,1,2
"8",4040,"63",6,2,24,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,1,0,1,NA,NA,NA,1,2
"9",4040,"63",6,2,47,1,1,1,4,2,3,2,NA,6,4546.5,5200,3,2,1213,205,5200,3000,1,0,1,NA,NA,NA,1,2
"10",4040,"63",6,1,27,1,1,1,4,1,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,1,0,1,NA,3,20,1,2
"11",4040,"63",6,1,51,1,1,4,4,1,1,6,10,6,4546.5,5200,3,2,1213,205,5200,3000,1,0,1,NA,2,10,1,2
"12",4048,"63",4,2,49,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,1,0,2,NA,0,NA,1,2
"13",4048,"63",4,1,21,2,1,1,4,1,2,6,12,8,6721,5200,3,2,1213,205,5200,3000,1,0,2,NA,1,20,1,2
"14",4048,"63",4,1,54,1,1,1,4,2,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,1,0,2,NA,0,20,1,2
"15",4048,"63",4,1,23,2,1,1,4,1,2,5,9,8,6721,5200,3,2,1213,205,5200,3000,1,0,2,NA,1,20,1,2
"16",4064,"63",2,1,49,1,1,1,1,1,2,6,10,5,8666,5200,3,2,1213,205,5200,3000,1,0,1,NA,2,20,1,2
