"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"1",6012,"63",2,1,49,1,1,1,4,2,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,60,20000,2,3,"Electric",6,3,1,0,2,NA,0.200000002980232,20,1,2
"2",6012,"63",2,2,47,1,1,1,4,3,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,60,20000,2,3,"Electric",6,3,2,0,2,NA,0,0,1,2
"3",6024,"63",2,2,48,1,1,1,4,4,1,NA,7,12245,5200,3,2,1213,205,5200,3000,135,6000,2,3,"Firewood",4,3,1,0,2,NA,0,0,1,2
"4",6024,"63",2,1,52,1,1,1,1,3,6,10,7,12245,5200,3,2,1213,205,5200,3000,135,6000,2,3,"Firewood",4,3,1,0,2,NA,2,20,1,2
"5",6036,"63",1,1,56,4,1,1,4,4,4,4,NA,5290,5200,3,2,1213,205,5200,3000,135,25000,2,3,"Firewood",4,3,3,10,5,3,0,15,1,2
"6",6048,"63",4,2,35,1,1,1,4,3,1,NA,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,120,36000,2,3,"Firewood",4,3,1,0,1,NA,NA,NA,1,2
"7",6048,"63",4,1,35,1,1,1,4,2,6,11,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,120,36000,2,3,"Firewood",4,3,1,0,1,NA,1,20,1,2
"8",6060,"63",6,2,24,1,1,1,4,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,180,35000,2,3,"Coal",4,3,1,0,1,NA,NA,NA,1,2
"9",6060,"63",6,2,47,1,1,1,4,3,2,NA,6,4546.5,5200,3,2,1213,205,5200,3000,180,35000,2,3,"Coal",4,3,1,0,1,NA,NA,NA,1,2
"10",6060,"63",6,1,27,1,1,1,4,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,180,35000,2,3,"Coal",4,3,1,0,1,NA,3,20,1,2
"11",6060,"63",6,1,51,1,1,4,4,1,6,10,6,4546.5,5200,3,2,1213,205,5200,3000,180,35000,2,3,"Coal",4,3,1,0,1,NA,2,10,1,2
"12",6072,"63",4,2,49,1,1,1,4,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,210,40000,2,3,"Firewood",4,3,1,0,2,NA,0,NA,1,2
"13",6072,"63",4,1,21,2,1,1,4,2,6,12,8,6721,5200,3,2,1213,205,5200,3000,210,40000,2,3,"Firewood",4,3,1,0,2,NA,1,20,1,2
"14",6072,"63",4,1,54,1,1,1,4,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,210,40000,2,3,"Firewood",4,3,1,0,2,NA,0,20,1,2
"15",6072,"63",4,1,23,2,1,1,4,2,5,9,8,6721,5200,3,2,1213,205,5200,3000,210,40000,2,3,"Firewood",4,3,1,0,2,NA,1,20,1,2
"16",6096,"63",2,1,49,1,1,1,1,2,6,10,5,8666,5200,3,2,1213,205,5200,3000,120,8000,2,3,"Firewood",4,3,1,0,1,NA,2,20,1,2
"17",6096,"63",2,2,47,1,1,1,2,3,4,5,5,8666,5200,3,2,1213,205,5200,3000,120,8000,2,3,"Firewood",4,3,1,0,1,NA,0,0,1,2
"18",6108,"63",4,2,37,1,1,1,4,3,4,5,8,5956.5,5200,3,2,1213,205,5200,3000,135,15000,2,3,"Coal",6,3,1,0,2,NA,NA,NA,1,2
"19",6108,"63",4,1,35,1,1,1,4,3,4,5,8,5956.5,5200,3,2,1213,205,5200,3000,135,15000,2,3,"Coal",6,3,1,0,2,NA,0,0,1,2
"20",6120,"63",5,1,25,2,0,1,4,3,4,NA,25,3475,3800,3,1,4768,285,3800,1800,75,38000,2,3,"Other",1,1,1,10,2,NA,NA,NA,1,NA
"21",6120,"63",5,2,46,1,0,1,4,4,4,NA,25,3475,3800,3,1,4768,285,3800,1800,75,38000,2,3,"Other",1,1,1,15,2,NA,NA,NA,1,NA
"22",6120,"63",5,2,21,2,0,1,4,3,4,NA,25,3475,3800,3,1,4768,285,3800,1800,75,38000,2,3,"Other",1,1,1,7,2,NA,NA,NA,1,NA
"23",6120,"63",5,1,46,1,0,1,4,3,5,NA,25,3475,3800,3,1,4768,285,3800,1800,75,38000,2,3,"Other",1,1,1,5,2,NA,NA,NA,1,NA
"24",6132,"63",4,1,40,1,0,1,4,4,4,NA,10,3096.25,3800,3,1,4768,285,3800,1800,75,30000,2,3,"Firewood",1,1,1,5,2,NA,NA,NA,1,NA
"25",6132,"63",4,1,55,4,0,1,4,4,1,NA,10,3096.25,3800,3,1,4768,285,3800,1800,75,30000,2,3,"Firewood",1,1,1,4,2,NA,NA,NA,1,1
"26",6132,"63",4,1,18,2,0,1,4,3,5,NA,10,3096.25,3800,3,1,4768,285,3800,1800,75,30000,2,3,"Firewood",1,1,1,1,2,NA,NA,NA,1,NA
"27",6132,"63",4,2,41,1,0,1,4,4,1,NA,10,3096.25,3800,3,1,4768,285,3800,1800,75,30000,2,3,"Firewood",1,1,1,2,2,NA,NA,NA,1,NA
"28",6144,"63",4,1,22,5,0,1,4,3,5,NA,15,17335.75,3800,3,1,4768,285,3800,1800,84,39000,2,3,"Firewood",1,3,1,2,2,NA,NA,NA,1,NA
"29",6144,"63",4,2,47,5,0,1,4,4,1,NA,15,17335.75,3800,3,1,4768,285,3800,1800,84,39000,2,3,"Firewood",1,3,1,15,2,NA,NA,NA,1,NA
"30",6156,"63",5,1,25,2,0,1,4,2,5,8,14,1886.2,3800,3,1,4768,285,3800,1800,48,9000,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,1
"31",6156,"63",5,2,48,1,0,1,4,2,2,NA,14,1886.2,3800,3,1,4768,285,3800,1800,48,9000,2,3,"Firewood",1,1,3,6,3,NA,0,0,1,1
"32",6156,"63",5,1,27,2,0,1,4,2,1,5,14,1886.2,3800,3,1,4768,285,3800,1800,48,9000,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,1
"33",6156,"63",5,1,50,1,0,1,4,2,1,5,14,1886.2,3800,3,1,4768,285,3800,1800,48,9000,2,3,"Firewood",1,1,1,10,3,NA,0,0,1,1
"34",6168,"63",6,1,22,2,0,1,4,2,6,9,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"35",6168,"63",6,1,24,1,0,1,4,2,4,5,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"36",6168,"63",6,1,46,1,0,1,4,2,5,8,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,365,3,NA,NA,NA,1,2
"37",6168,"63",6,2,46,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"38",6168,"63",6,2,20,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"39",6180,"63",7,2,23,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"40",6180,"63",7,1,28,1,0,1,4,2,4,5,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,4,0,3,NA,0,0,3,2
"41",6180,"63",7,2,31,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"42",6180,"63",7,1,36,1,0,1,4,2,4,4,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"43",6192,"63",5,2,37,1,0,1,4,NA,1,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,48,7500,2,3,"Firewood",NA,1,1,15,2,NA,NA,NA,1,NA
