"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b6","b6_1","b6_2","b13_1","b13_2","b13_3","b13_4","b14","b15","b15_1","b15_2","n1_3","n1_3_1","e30","e31","e32","e33","e38"
"1",1002,"63",2,1,49,1,1,1,4,2,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,1,6,80,1990,6,NA,NA,2,1990,2,5,NA,5000,1,63,2,16,NA
"2",1002,"63",2,2,47,1,1,1,4,3,4,5,3.5,4396.5,5200,3,2,1213,205,5200,3000,1,3,80,2007,6,NA,NA,2,2007,1,6,NA,1075,1,63,2,16,NA
"3",1004,"63",2,2,48,1,1,1,4,4,1,NA,7,12245,5200,3,2,1213,205,5200,3000,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1004,"63",2,1,52,1,1,1,1,3,6,10,7,12245,5200,3,2,1213,205,5200,3000,1,9,70,1987,5,NA,NA,2,1987,1,5,16100,15100,1,63,2,16,NA
"5",1006,"63",1,1,56,4,1,1,4,4,4,4,NA,5290,5200,3,2,1213,205,5200,3000,1,1.5,50,2011,6,NA,NA,3,NA,2,6,2000,2000,1,63,6,16,NA
"6",1008,"63",4,2,35,1,1,1,4,3,1,NA,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,1,9,50,2008,5,NA,NA,2,2008,2,5,23000,20000,NA,63,2,8,1000
"7",1008,"63",4,1,35,1,1,1,4,2,6,11,11.8999996185303,15939,5200,3,2,1213,205,5200,3000,1,9,50,1998,5,NA,NA,2,1998,2,5,24000,21000,NA,63,2,8,1000
"8",1010,"63",6,2,24,1,1,1,4,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,1,2,56,2010,7,2,2,1,2008,2,5,2000,1900,1,63,2,16,NA
"9",1010,"63",6,2,47,1,1,1,4,3,2,NA,6,4546.5,5200,3,2,1213,205,5200,3000,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1010,"63",6,1,27,1,1,1,4,2,5,8,6,4546.5,5200,3,2,1213,205,5200,3000,1,9,56,2010,7,1,1,1,2004,2,5,15000,12000,1,63,2,16,NA
"11",1010,"63",6,1,51,1,1,4,4,1,6,10,6,4546.5,5200,3,2,1213,205,5200,3000,1,12,48,1981,1,NA,NA,1,1981,2,1,NA,NA,3,63,2,7,NA
"12",1012,"63",4,2,49,1,1,1,4,4,5,8,8,6721,5200,3,2,1213,205,5200,3000,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1012,"63",4,1,21,2,1,1,4,2,6,12,8,6721,5200,3,2,1213,205,5200,3000,1,11,50,2011,5,NA,NA,1,2010,2,5,7500,4000,1,63,2,8,NA
